"","Protein.Name","WB","CI","PG","FB"
"1","Arachidonate",0.518246809475585,0.789536065632981,0.572569630779673,0.442332057158975
"2","Catalase",0.476719875156068,0.646457469565406,0.559208900496535,0.454034288693128
"3","Cytochrome",0.558643438785711,0.781127124440952,0.401273662304525,0.434875790930257
"4","Glycogen",0.495536783870993,0.618888781108504,0.497508162114067,0.375867395623024
"5","HSP70",0.369343334030039,0.706512244904916,0.379941454975342,0.292234912160953
"6","HSP90-alpha",0.507976060102741,0.757272799284181,0.509323145502281,0.404491832548262
"7","PDI",0.528237400651952,0.667280869155869,0.538037339431518,0.509475235714598
"8","Peroxiredoxin-1",0.370936721313315,0.613113478675769,0.406200912570641,0.329908346417243
"9","Puromycin-sensitive",0.50927074876682,0.684963583760671,0.493499471160293,0.49484660882679
"10","Ras-related",0.59832590105097,0.626804635539735,0.544196519625125,0.400598014277844
"11","Sodium/potassium-transporting",0.502443350646096,0.751015489661544,0.506097798515509,0.381588743259941
"12","Superoxide",0.687179616206219,0.816094346032231,0.710485928034519,0.564791313940022
"13","Trifunctional",0.540364419053418,0.735300591168307,0.573614378384969,0.435906720467604
